timestamp,avg_players,peak_players
2024-12-01 17:01:22,1045426,1045426
2024-12-01 18:01:37,1011751,1011751
2024-12-01 19:02:03,1003816,1003816
2024-12-01 20:01:32,959239,959239
2024-12-01 21:01:28,865911,865911
2024-12-01 22:01:37,755524,755524
2024-12-01 23:00:49,658644,658644
2024-12-02 00:01:32,579274,579274
2024-12-02 01:01:31,548918,548918
2024-12-02 02:01:18,520761,520761
2024-12-02 03:00:41,548614,548614
2024-12-02 04:01:37,545687,545687
2024-12-02 05:01:24,616317,616317
2024-12-02 06:02:28,608263,608263
2024-12-02 07:01:33,627042,627042
2024-12-02 08:01:23,688921,688921
2024-12-02 09:00:35,781596,781596
2024-12-02 10:01:31,795029,795029
2024-12-02 11:01:28,855758,855758
2024-12-02 12:01:42,1044532,1044532
2024-12-02 13:01:31,1252959,1252959
2024-12-02 14:02:05,1365911,1365911
2024-12-02 15:00:29,1262887,1262887
2024-12-02 16:01:37,1014442,1014442
2024-12-02 17:00:29,934852,934852
2024-12-02 18:00:36,922462,922462
2024-12-02 19:01:41,915756,915756
2024-12-02 20:00:37,893569,893569
2024-12-02 21:01:38,824549,824549
2024-12-02 22:00:32,730491,730491
2024-12-02 23:00:32,648022,648022
2024-12-03 00:01:38,580324,580324
2024-12-03 01:01:02,551296,551296
2024-12-03 02:01:16,520457,520457
2024-12-03 03:01:08,542950,542950
2024-12-03 04:00:36,535016,535016
2024-12-03 05:02:58,620288,620288
2024-12-03 06:01:01,597811,597811
2024-12-03 07:02:39,613819,613819
2024-12-03 08:00:27,672553,672553
2024-12-03 09:01:07,764465,764465
2024-12-03 10:01:32,774852,774852
2024-12-03 11:01:28,844818,844818
2024-12-03 12:01:58,1037049,1037049
2024-12-03 13:01:36,1256718,1256718
2024-12-03 14:00:33,1401773,1401773
2024-12-03 15:01:41,1271334,1271334
2024-12-03 16:01:29,1058580,1058580
2024-12-03 17:00:47,985045,985045
2024-12-03 18:02:30,948689,948689
2024-12-03 19:01:24,953143,953143
2024-12-03 20:01:36,918687,918687
2024-12-03 21:01:29,838986,838986
2024-12-03 22:00:50,692063,692063
2024-12-03 23:01:33,655754,655754
2024-12-04 00:01:06,599044,599044
2024-12-04 01:01:42,574500,574500
2024-12-04 02:01:29,592415,592415
2024-12-04 03:00:49,649283,649283
2024-12-04 04:01:54,651365,651365
2024-12-04 05:00:39,757656,757656
2024-12-04 06:01:18,741993,741993
2024-12-04 07:01:31,748275,748275
2024-12-04 08:01:29,800413,800413
2024-12-04 09:01:29,881486,881486
2024-12-04 10:01:28,842328,842328
2024-12-04 11:01:28,914142,914142
2024-12-04 12:02:47,1135351,1135351
2024-12-04 13:01:52,1348183,1348183
2024-12-04 14:01:47,1509212,1509212
2024-12-04 15:01:28,1390089,1390089
2024-12-04 16:01:14,1136011,1136011
2024-12-04 17:00:59,1023867,1023867
2024-12-04 18:01:31,993289,993289
2024-12-04 19:01:30,989868,989868
2024-12-04 20:02:03,943667,943667
2024-12-04 21:01:28,876269,876269
2024-12-04 22:01:07,785107,785107
2024-12-04 23:01:33,686858,686858
2024-12-05 00:00:45,606657,606657
2024-12-05 01:01:11,573211,573211
2024-12-05 02:02:10,570507,570507
2024-12-05 03:02:20,600978,600978
2024-12-05 04:01:00,580823,580823
2024-12-05 05:01:38,657886,657886
2024-12-05 06:01:24,648860,648860
2024-12-05 07:01:09,666231,666231
2024-12-05 08:01:06,724181,724181
2024-12-05 09:01:34,799528,799528
2024-12-05 10:01:33,802009,802009
2024-12-05 11:01:33,869646,869646
2024-12-05 12:02:41,1066884,1066884
2024-12-05 13:01:33,1292598,1292598
2024-12-05 14:01:31,1465785,1465785
2024-12-05 15:01:29,1342533,1342533
2024-12-05 16:01:18,1108417,1108417
2024-12-05 17:00:30,1007027,1007027
2024-12-05 18:01:38,975770,975770
2024-12-05 19:00:29,967543,967543
2024-12-05 20:02:08,939475,939475
2024-12-05 21:01:06,870050,870050
2024-12-05 22:01:31,764799,764799
